	GCF_000267545.1_ASM26754v1_genomic.fna	GCF_001648195.1_ASM164819v1_genomic.fna	GCF_000590475.1_ASM59047v1_genomic.fna	GCF_000195105.1_ASM19510v1_genomic.fna	GCF_000818015.1_ASM81801v1_genomic.fna	GCF_000661915.1_ASM66191v1_genomic.fna	GCF_001038645.1_ASM103864v1_genomic.fna	GCF_000327065.1_ASM32706v1_genomic.fna	GCF_000279165.1_ASM27916v1_genomic.fna	GCF_000013785.1_ASM1378v1_genomic.fna	GCF_000016565.1_ASM1656v1_genomic.fna	GCF_000219605.1_ASM21960v1_genomic.fna	SAMD00059319_PSCT_BDJA01_FF.fna
PSCT_03336	0.97	0.86	0.90	0.95	0.91	0.98	0.95	0.99	0.86	0.95	0.87	0.95	1.00
PSCT_03337	0.99	0.94	0.94	0.98	0.95	0.99	0.98	1.00	0.94	0.97	0.87	0.98	1.00
PSCT_03338	0.94	0.84	0.83	0.92	0.81	0.96	0.92	0.98	0.83	0.92	0.79	0.92	1.00
PSCT_03339	0.97	0.87	0.87	0.97	0.90	0.99	0.97	1.00	0.88	0.97	0.84	0.97	1.00
PSCT_03340	0.98	0.87	0.88	0.95	0.88	0.99	0.95	1.00	0.88	0.96	0.77	0.96	1.00
PSCT_03341	0.98	0.95	0.96	0.98	0.93	0.99	0.98	1.00	0.96	0.98	0.85	0.98	1.00
PSCT_03342	0.86	0.76	0.78	0.86	0.73	0.93	0.86	0.98	0.79	0.86	0.72	0.86	1.00
PSCT_03343	0.84	0.62	0.63	0.84	0.60	0.93	0.84	0.99	0.65	0.84	0.56	0.84	1.00
PSCT_03344	1.00	0.96	0.96	0.99	0.97	1.00	0.99	1.00	0.96	0.99	0.93	0.99	1.00
PSCT_03345	0.94	0.73	0.74	0.89	0.76	0.95	0.89	0.98	0.73	0.89	0.60	0.89	1.00
PSCT_03346	0.98	0.79	0.81	0.99	0.84	0.98	0.99	0.99	0.80	0.99	0.65	0.97	1.00
PSCT_03347	0.91	0.83	0.82	0.93	0.79	0.96	0.93	0.99	0.82	0.93	0.76	0.93	1.00
PSCT_03348	0.99	0.98	0.98	1.00	1.00	1.00	1.00	1.00	0.98	1.00	0.98	1.00	1.00
PSCT_03349	0.98	0.97	0.92	0.97	0.90	0.99	0.97	1.00	0.91	0.97	0.88	0.97	1.00
PSCT_03350	0.98	0.92	0.92	0.98	0.91	0.97	0.97	0.99	0.94	0.99	0.89	0.98	1.00
PSCT_03351	0.98	0.96	0.95	0.97	0.92	0.99	0.98	0.99	0.96	0.98	0.93	0.97	1.00
PSCT_03352	0.92	0.52	0.52	0.87	0.69	0.91	0.87	1.00	0.69	0.87	0.52	0.87	1.00
PSCT_03353	0.94	0.81	0.80	0.93	0.68	0.94	0.93	1.00	0.75	0.93	0.71	0.93	1.00
PSCT_03354	0.99	0.87	0.86	0.96	0.86	0.94	0.96	1.00	0.90	0.96	0.85	0.96	1.00
PSCT_03355	0.91	0.00	0.85	0.92	0.00	0.92	0.93	1.00	0.88	0.93	0.29	0.91	1.00
PSCT_03356	0.79	0.00	0.58	0.72	0.00	0.85	0.72	0.95	0.63	0.72	0.17	0.72	1.00
PSCT_03357	0.83	0.15	0.71	0.84	0.15	0.89	0.84	1.00	0.80	0.84	0.19	0.84	1.00
PSCT_03358	0.94	0.84	0.84	0.93	0.82	0.97	0.93	1.00	0.81	0.93	0.76	0.93	1.00
PSCT_03359	1.00	0.96	0.96	1.00	0.98	0.99	1.00	1.00	0.96	1.00	0.90	1.00	1.00
PSCT_03360	0.98	0.89	0.91	1.00	0.92	0.99	1.00	1.00	0.90	1.00	0.78	1.00	1.00
PSCT_03361	0.91	0.72	0.74	0.98	0.66	0.98	0.99	1.00	0.77	0.98	0.66	0.99	1.00
PSCT_03362	0.87	0.30	0.25	0.95	0.25	0.71	0.95	0.72	0.86	0.95	0.66	0.78	1.00
PSCT_03363	0.89	0.08	0.78	0.96	0.09	0.97	0.95	0.98	0.79	0.96	0.09	0.96	1.00
PSCT_03364	0.93	0.09	0.78	0.94	0.09	0.96	0.94	1.00	0.81	0.94	0.00	0.94	1.00
PSCT_03365	0.93	0.06	0.84	0.97	0.00	0.97	0.96	0.97	0.80	0.97	0.00	0.96	1.00
PSCT_03366	0.81	0.04	0.61	0.82	0.04	0.83	0.82	0.94	0.62	0.83	0.40	0.82	1.00
PSCT_03367	0.25	0.30	0.23	0.25	0.23	0.25	0.25	0.98	0.16	0.25	0.22	0.25	1.00
PSCT_03368	0.97	0.20	0.50	0.95	0.75	0.98	0.95	0.98	0.12	0.96	0.35	0.96	1.00
PSCT_03369	0.98	0.00	0.83	0.96	0.92	0.96	0.95	0.97	0.00	0.96	0.58	0.95	1.00
PSCT_03370	0.86	0.10	0.56	0.82	0.66	0.94	0.83	0.95	0.10	0.83	0.17	0.83	1.00
PSCT_03371	0.99	0.97	0.96	0.99	0.94	0.99	0.99	1.00	0.95	0.99	0.89	0.99	1.00
PSCT_03372	0.99	0.97	0.97	0.94	0.93	0.99	0.94	1.00	0.88	0.94	0.94	0.94	1.00
PSCT_03373	0.16	0.16	0.16	0.25	0.17	0.99	0.16	0.99	0.17	0.16	0.52	0.16	1.00
PSCT_03374	0.95	0.95	0.93	0.92	0.93	0.98	0.91	0.99	0.03	0.92	0.79	0.92	1.00
PSCT_03375	0.89	0.89	0.88	0.82	0.86	0.95	0.82	0.97	0.06	0.82	0.60	0.83	1.00
PSCT_03376	0.93	0.94	0.92	0.91	0.90	0.95	0.91	0.98	0.17	0.91	0.67	0.91	1.00
PSCT_03377	0.95	0.95	0.84	0.90	0.88	0.92	0.91	0.99	0.15	0.91	0.65	0.90	1.00
PSCT_03378	0.99	0.98	0.96	0.99	0.91	1.00	0.99	0.99	0.96	0.97	0.76	0.97	1.00
PSCT_03379	0.93	0.95	0.94	0.94	0.84	0.95	0.94	0.99	0.92	0.94	0.81	0.93	1.00
PSCT_03380	0.83	0.71	0.71	0.84	0.51	0.91	0.85	0.98	0.70	0.83	0.38	0.85	1.00
PSCT_03381	0.92	0.76	0.78	0.90	0.69	0.89	0.90	1.00	0.76	0.90	0.59	0.88	1.00
PSCT_03382	0.95	0.80	0.16	0.94	0.81	0.99	0.94	0.99	0.81	0.94	0.74	0.94	1.00
PSCT_03383	0.87	0.69	0.70	0.87	0.70	0.93	0.86	0.99	0.74	0.87	0.31	0.87	1.00
PSCT_03384	0.99	0.82	0.84	0.96	0.80	1.00	0.96	0.99	0.87	0.96	0.53	0.96	1.00
PSCT_03385	0.97	0.84	0.84	0.94	0.80	0.97	0.93	0.99	0.85	0.94	0.75	0.94	1.00
PSCT_03386	0.97	0.80	0.79	0.93	0.79	1.00	0.93	0.98	0.76	0.93	0.61	0.93	1.00
PSCT_03387	1.00	0.93	0.93	0.99	0.95	1.00	0.99	1.00	0.94	0.99	0.84	0.99	1.00
PSCT_03388	0.98	0.87	0.91	0.93	0.89	0.96	0.93	0.97	0.87	0.96	0.81	0.93	1.00
PSCT_03389	0.92	0.80	0.79	0.87	0.75	0.92	0.87	0.95	0.77	0.92	0.70	0.87	1.00
PSCT_03390	0.09	0.13	0.08	0.10	0.15	0.09	0.10	0.13	0.09	0.10	0.09	0.09	1.00
PSCT_03391	0.14	0.26	0.12	0.14	0.32	0.12	0.15	0.26	0.13	0.21	0.14	0.12	1.00
PSCT_03392	0.00	0.21	0.00	0.06	0.23	0.06	0.06	0.21	0.04	0.07	0.05	0.06	1.00
PSCT_03393	0.20	0.37	0.22	0.21	0.42	0.20	0.23	0.38	0.21	0.25	0.20	0.20	1.00
PSCT_03394	0.11	0.23	0.17	0.13	0.17	0.15	0.22	0.21	0.16	0.13	0.14	0.17	1.00
PSCT_03395	0.14	0.17	0.19	0.11	0.24	0.15	0.18	0.21	0.17	0.17	0.17	0.17	1.00
PSCT_03396	0.97	0.93	0.94	0.97	0.92	0.98	0.97	0.98	0.93	0.98	0.91	0.96	1.00
PSCT_03397	0.96	0.87	0.85	0.99	0.83	0.98	0.99	1.00	0.89	0.97	0.83	0.98	1.00
PSCT_03398	0.95	0.92	0.92	0.94	0.92	0.99	0.94	0.99	0.89	0.93	0.73	0.97	1.00
PSCT_03399	0.99	0.93	0.93	0.97	0.95	0.99	0.97	1.00	0.95	0.97	0.85	0.97	1.00
PSCT_03400	0.98	0.91	0.88	0.95	0.86	0.99	0.95	0.99	0.92	0.94	0.77	0.95	1.00
PSCT_03401	0.98	0.90	0.90	0.98	0.88	0.99	0.98	1.00	0.92	0.98	0.51	0.98	1.00
PSCT_03402	0.99	0.99	0.96	0.98	0.96	0.99	0.98	0.99	0.98	0.98	0.92	0.98	0.99
PSCT_03403	0.95	0.81	0.83	0.91	0.81	0.90	0.91	0.99	0.81	0.91	0.79	0.91	1.00
PSCT_03404	0.99	0.93	0.94	0.98	0.93	0.99	0.97	1.00	0.94	0.98	0.86	0.98	1.00
PSCT_03405	0.99	0.92	0.95	0.98	0.94	0.99	0.98	1.00	0.95	0.98	0.84	0.98	1.00
PSCT_03406	0.98	0.96	0.97	0.98	0.95	1.00	0.98	1.00	0.97	0.98	0.95	0.98	1.00
PSCT_03407	1.00	1.00	1.00	0.99	0.96	1.00	0.99	1.00	0.99	0.99	0.94	0.99	1.00
PSCT_03408	0.99	0.93	0.93	0.99	0.91	0.99	0.98	1.00	0.93	0.99	0.89	0.98	1.00
PSCT_03409	0.91	0.89	0.88	0.93	0.75	0.89	0.93	0.98	0.91	0.93	0.76	0.93	1.00
PSCT_03410	1.00	0.91	0.89	0.97	0.89	0.99	0.96	1.00	0.91	0.96	0.80	0.96	1.00
PSCT_03411	0.88	0.04	0.03	0.87	0.00	0.90	0.88	0.98	0.00	0.89	0.74	0.88	1.00
PSCT_03412	0.90	0.62	0.00	0.87	0.57	0.91	0.85	1.00	0.00	0.87	0.60	0.87	1.00
PSCT_03413	0.94	0.91	0.90	0.99	0.91	0.99	0.99	1.00	0.89	0.99	0.89	0.99	1.00
PSCT_03414	0.99	0.80	0.83	0.92	0.79	0.96	0.91	1.00	0.78	0.92	0.65	0.92	1.00
PSCT_03415	0.97	0.93	0.93	0.97	0.90	0.98	0.97	1.00	0.93	0.97	0.84	0.97	1.00
PSCT_03416	0.95	0.85	0.00	0.96	0.86	0.95	0.96	1.00	0.87	0.95	0.00	0.97	1.00
PSCT_03417	0.95	0.79	0.83	0.96	0.86	0.94	0.96	1.00	0.89	0.96	0.00	0.89	1.00
PSCT_03418	0.97	0.87	0.83	0.96	0.87	0.97	0.96	1.00	0.69	0.96	0.72	0.68	1.00
PSCT_03419	0.99	0.91	0.89	0.91	0.87	0.99	0.91	0.99	0.89	0.90	0.11	0.89	1.00
PSCT_03420	0.99	0.98	0.98	0.97	0.98	1.00	0.97	1.00	0.99	0.97	0.95	0.99	1.00
PSCT_03421	0.95	0.79	0.76	0.91	0.59	0.93	0.91	0.99	0.85	0.90	0.67	0.91	1.00
PSCT_03422	0.89	0.57	0.63	0.88	0.77	0.91	0.87	1.00	0.83	0.88	0.00	0.88	1.00
PSCT_03423	0.98	0.98	0.97	0.98	0.96	0.99	0.98	1.00	0.96	0.98	0.91	0.98	1.00
PSCT_03424	0.09	0.08	0.06	0.91	0.10	0.07	0.03	0.96	0.27	0.92	0.10	0.09	1.00
PSCT_03425	0.00	0.00	0.00	0.56	0.07	0.00	0.03	0.23	0.14	0.18	0.00	0.10	1.00
PSCT_03426	0.06	0.04	0.02	0.90	0.06	0.04	0.02	0.97	0.21	0.92	0.04	0.06	1.00
PSCT_03427	0.85	0.00	0.00	1.00	0.88	0.00	0.85	0.98	0.21	0.69	0.44	0.31	1.00
PSCT_03428	0.58	0.00	0.00	0.99	0.66	0.00	0.71	0.98	0.00	0.54	0.00	0.00	1.00
PSCT_03429	0.75	0.04	0.00	0.97	0.76	0.04	0.76	0.99	0.04	0.64	0.04	0.05	1.00
PSCT_03430	0.37	0.19	0.00	0.99	0.41	0.00	0.40	0.98	0.00	0.00	0.51	0.00	1.00
PSCT_03431	0.82	0.86	0.00	0.49	0.55	0.51	0.82	0.85	0.53	0.49	0.14	0.13	1.00
PSCT_03432	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.29	0.00	0.29	0.00	0.12	0.99
PSCT_03433	1.00	1.00	0.07	0.10	0.11	1.00	0.96	1.00	0.00	0.11	0.00	0.08	1.00
PSCT_03434	0.35	0.00	0.00	0.00	0.00	0.35	0.35	0.94	0.24	0.35	0.28	0.37	1.00
PSCT_03435	0.23	0.89	0.00	0.95	0.00	0.00	0.23	0.98	0.00	0.00	0.00	0.00	1.00
PSCT_03436	0.16	0.85	0.00	0.88	0.00	0.10	0.16	0.84	0.00	0.00	0.00	0.00	1.00
PSCT_03437	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.69	0.66	0.00	0.00	0.00	1.00
PSCT_03438	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.58	0.58	0.00	0.00	0.00	1.00
PSCT_03439	0.26	0.00	0.00	0.20	0.20	0.26	0.86	0.52	0.93	0.00	0.26	0.00	1.00
PSCT_03440	0.56	0.00	0.20	0.19	0.47	0.33	0.89	0.58	0.88	0.54	0.54	0.19	0.99
PSCT_03441	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_03442	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_03443	0.87	0.37	0.39	0.79	0.45	0.83	0.78	0.95	0.48	0.86	0.19	0.78	0.99
PSCT_03444	0.91	0.25	0.27	0.88	0.79	0.91	0.88	1.00	0.27	0.94	0.27	0.88	1.00
PSCT_03445	0.92	0.12	0.12	0.79	0.78	0.91	0.82	0.96	0.00	0.90	0.00	0.82	1.00
PSCT_03446	0.95	0.82	0.83	0.87	0.84	0.93	0.87	0.99	0.84	0.87	0.76	0.87	1.00
PSCT_03447	0.98	0.80	0.78	0.90	0.69	0.95	0.90	1.00	0.73	0.83	0.09	0.90	1.00
PSCT_03448	0.99	0.95	0.94	0.90	0.92	0.98	0.90	0.99	0.93	0.94	0.20	0.90	1.00
PSCT_03449	0.86	0.54	0.24	0.86	0.77	0.84	0.86	0.98	0.21	0.86	0.42	0.86	1.00
PSCT_03450	0.95	0.82	0.56	0.93	0.78	0.97	0.92	0.99	0.78	0.93	0.66	0.93	1.00
PSCT_03451	0.99	0.89	0.89	0.98	0.89	1.00	0.98	1.00	0.91	0.99	0.83	0.98	1.00
PSCT_03452	0.95	0.75	0.76	0.90	0.06	0.72	0.90	0.99	0.83	0.90	0.68	0.90	1.00
PSCT_03453	0.98	0.76	0.79	0.95	0.00	0.99	0.95	0.98	0.90	0.95	0.51	0.95	1.00
PSCT_03454	0.92	0.61	0.62	0.87	0.10	0.95	0.87	0.98	0.79	0.86	0.43	0.87	1.00
PSCT_03455	0.71	0.17	0.16	0.72	0.67	0.72	0.73	0.72	0.83	0.72	0.07	0.72	1.00
PSCT_03456	0.94	0.46	0.46	0.94	0.94	0.98	0.95	0.98	0.89	0.95	0.05	0.95	1.00
PSCT_03457	0.82	0.27	0.19	0.75	0.56	0.75	0.75	1.00	0.57	0.75	0.20	0.75	1.00
PSCT_03458	0.88	0.60	0.62	0.87	0.75	0.92	0.87	0.99	0.22	0.87	0.07	0.87	1.00
PSCT_03459	0.93	0.74	0.79	0.94	0.89	0.97	0.94	1.00	0.19	0.94	0.21	0.94	1.00
PSCT_03460	0.86	0.59	0.59	0.85	0.63	0.89	0.84	0.98	0.62	0.84	0.04	0.85	1.00
PSCT_03461	0.00	0.76	0.00	0.92	0.66	0.97	0.92	1.00	0.74	0.05	0.58	0.05	1.00
PSCT_03462	0.18	0.84	0.18	0.97	0.55	0.98	0.96	1.00	0.86	0.21	0.75	0.18	1.00
PSCT_03463	0.18	0.86	0.18	0.99	0.17	0.99	0.99	1.00	0.85	0.17	0.65	0.17	1.00
PSCT_03464	0.13	0.68	0.14	0.94	0.14	0.94	0.94	0.98	0.66	0.13	0.57	0.13	1.00
PSCT_03465	0.53	0.92	0.53	0.96	0.52	0.99	0.96	1.00	0.90	0.54	0.82	0.53	1.00
PSCT_03466	0.36	0.92	0.37	0.95	0.38	1.00	0.95	1.00	0.89	0.36	0.82	0.36	1.00
PSCT_03467	0.55	0.96	0.55	1.00	0.55	1.00	1.00	1.00	0.97	0.55	0.90	0.55	1.00
PSCT_03468	0.42	0.96	0.40	0.99	0.41	0.99	0.99	1.00	0.95	0.42	0.73	0.41	1.00
PSCT_03469	0.39	0.91	0.40	0.98	0.38	0.99	0.98	1.00	0.92	0.37	0.75	0.22	1.00
PSCT_03470	0.15	0.71	0.14	0.99	0.15	0.99	0.99	1.00	0.77	0.16	0.65	0.15	1.00
PSCT_03471	0.48	0.96	0.49	1.00	0.47	1.00	1.00	0.99	0.99	0.50	0.84	0.49	1.00
PSCT_03472	0.46	0.89	0.49	0.98	0.49	0.98	0.98	1.00	0.85	0.47	0.74	0.47	1.00
PSCT_03473	0.15	0.56	0.15	0.81	0.19	0.92	0.81	0.97	0.55	0.18	0.46	0.17	1.00
PSCT_03474	0.32	0.68	0.32	0.69	0.30	0.71	0.75	1.00	0.71	0.39	0.70	0.43	1.00
PSCT_03475	0.06	0.55	0.12	0.73	0.17	0.85	0.74	0.99	0.49	0.06	0.35	0.06	1.00
PSCT_03476	0.00	0.73	0.00	0.82	0.00	0.87	0.82	1.00	0.58	0.00	0.44	0.00	1.00
PSCT_03477	0.26	0.76	0.24	0.87	0.27	0.92	0.87	1.00	0.74	0.25	0.61	0.25	1.00
PSCT_03478	0.34	0.95	0.35	0.98	0.36	0.95	0.98	1.00	0.96	0.33	0.91	0.33	1.00
PSCT_03479	0.28	0.89	0.28	0.95	0.28	0.99	0.95	1.00	0.88	0.28	0.76	0.28	1.00
PSCT_03480	0.00	0.74	0.12	0.95	0.11	0.95	0.96	1.00	0.72	0.10	0.51	0.00	1.00
PSCT_03481	0.09	0.32	0.06	0.61	0.07	0.74	0.61	1.00	0.30	0.07	0.28	0.07	1.00
PSCT_03482	0.14	0.58	0.14	0.82	0.14	0.86	0.82	0.99	0.56	0.17	0.50	0.17	0.99
PSCT_03483	0.33	0.94	0.33	0.98	0.37	0.98	0.98	1.00	0.95	0.33	0.84	0.35	1.00
PSCT_03484	0.18	0.75	0.18	0.89	0.18	0.92	0.89	1.00	0.69	0.16	0.60	0.17	1.00
PSCT_03485	0.13	0.68	0.17	0.89	0.17	0.97	0.89	1.00	0.65	0.17	0.55	0.15	1.00
PSCT_03486	0.18	0.69	0.24	0.91	0.18	0.90	0.91	1.00	0.66	0.17	0.53	0.17	1.00
PSCT_03487	0.00	0.87	0.00	0.97	0.00	0.95	0.97	0.99	0.85	0.00	0.81	0.00	1.00
PSCT_03488	0.52	0.94	0.51	1.00	0.53	0.99	1.00	1.00	0.94	0.52	0.87	0.52	1.00
PSCT_03489	0.18	0.85	0.18	0.92	0.17	0.97	0.92	1.00	0.84	0.17	0.64	0.17	1.00
PSCT_03490	0.25	0.95	0.25	0.99	0.25	0.99	0.99	1.00	0.96	0.25	0.87	0.25	1.00
PSCT_03491	0.25	0.84	0.25	0.97	0.25	0.95	0.97	1.00	0.82	0.25	0.71	0.25	1.00
PSCT_03492	0.30	0.78	0.30	0.95	0.32	0.99	0.95	1.00	0.79	0.30	0.68	0.30	1.00
PSCT_03493	0.37	0.83	0.37	0.92	0.39	0.97	0.92	1.00	0.79	0.37	0.75	0.37	1.00
PSCT_03494	0.00	0.86	0.00	0.97	0.00	0.98	0.97	1.00	0.85	0.00	0.69	0.00	1.00
PSCT_03495	0.37	0.83	0.38	0.98	0.37	0.99	0.98	1.00	0.84	0.37	0.67	0.38	1.00
PSCT_03496	0.52	0.92	0.52	0.98	0.50	1.00	0.99	1.00	0.90	0.52	0.80	0.52	1.00
PSCT_03497	0.20	0.49	0.39	0.29	0.18	0.44	0.30	0.93	0.33	0.22	0.17	0.26	1.00
PSCT_03498	0.48	0.96	0.49	1.00	0.47	1.00	1.00	1.00	0.97	0.47	0.83	0.47	1.00
PSCT_03499	0.32	0.83	0.31	0.98	0.32	0.99	0.97	0.85	0.88	0.33	0.76	0.33	1.00
PSCT_03500	0.33	0.89	0.33	0.96	0.34	0.96	0.96	1.00	0.88	0.33	0.73	0.33	1.00
PSCT_03501	0.49	0.98	0.49	0.98	0.49	0.99	0.99	1.00	0.95	0.50	0.89	0.50	1.00
PSCT_03502	0.29	0.76	0.32	0.94	0.29	0.97	0.93	1.00	0.72	0.28	0.30	0.28	1.00
PSCT_03503	0.89	0.53	0.43	0.79	0.64	0.91	0.79	0.99	0.47	0.79	0.00	0.81	1.00
PSCT_03504	0.91	0.72	0.71	0.92	0.70	0.94	0.92	0.99	0.71	0.92	0.49	0.92	1.00
PSCT_03505	0.96	0.80	0.81	0.88	0.78	0.95	0.88	1.00	0.81	0.88	0.58	0.88	1.00
PSCT_03506	0.99	0.91	0.91	0.97	0.82	0.99	0.97	0.99	0.82	0.97	0.66	0.97	1.00
PSCT_03507	0.94	0.72	0.72	0.94	0.82	0.97	0.93	0.98	0.89	0.93	0.00	0.94	1.00
PSCT_03508	1.00	0.99	1.00	1.00	0.97	1.00	1.00	1.00	0.98	1.00	0.41	1.00	1.00
PSCT_03509	0.89	0.81	0.80	0.92	0.80	0.95	0.92	1.00	0.81	0.92	0.66	0.92	1.00
PSCT_03510	0.99	0.96	0.95	0.98	0.97	1.00	0.98	1.00	0.98	0.98	0.89	0.98	1.00
PSCT_03511	0.99	0.91	0.91	0.99	0.95	0.99	0.98	0.99	0.93	0.99	0.92	0.99	1.00
PSCT_03512	0.97	0.79	0.78	0.96	0.77	0.97	0.96	1.00	0.56	0.96	0.77	0.96	1.00
PSCT_03513	0.97	0.73	0.73	0.98	0.73	0.99	0.98	1.00	0.69	0.98	0.39	0.98	1.00
PSCT_03514	0.90	0.64	0.65	0.89	0.68	0.95	0.90	0.99	0.68	0.89	0.40	0.89	1.00
PSCT_03515	0.94	0.73	0.72	0.92	0.73	0.98	0.93	1.00	0.75	0.97	0.56	0.92	1.00
PSCT_03516	0.94	0.69	0.71	0.92	0.73	0.96	0.92	1.00	0.68	0.95	0.48	0.92	1.00
PSCT_03517	0.90	0.64	0.67	0.86	0.69	0.93	0.84	0.99	0.65	0.84	0.50	0.86	1.00
PSCT_03518	0.96	0.69	0.64	0.90	0.72	0.99	0.90	0.99	0.67	0.90	0.43	0.90	1.00
PSCT_03519	0.97	0.89	0.88	0.98	0.88	1.00	0.98	1.00	0.88	0.98	0.81	0.98	1.00
PSCT_03520	0.99	0.92	0.90	0.99	0.93	0.99	0.99	1.00	0.91	0.99	0.79	0.99	1.00
PSCT_03521	0.98	0.88	0.89	0.97	0.89	0.99	0.97	0.99	0.84	0.97	0.77	0.97	1.00
PSCT_03522	0.98	0.88	0.89	0.99	0.88	0.98	0.98	1.00	0.88	0.99	0.86	0.98	1.00
PSCT_03523	1.00	0.95	0.92	1.00	1.00	1.00	1.00	1.00	0.95	1.00	0.91	1.00	1.00
PSCT_03524	0.99	0.91	0.90	0.99	0.97	0.99	0.99	1.00	0.91	0.99	0.92	0.99	1.00
PSCT_03525	0.98	0.00	0.81	0.13	0.00	0.99	0.97	1.00	0.00	0.98	0.80	0.98	1.00
PSCT_03526	0.98	0.79	0.80	0.06	0.74	0.99	0.98	1.00	0.78	0.98	0.79	0.98	1.00
PSCT_03527	0.90	0.55	0.55	0.32	0.56	0.90	0.96	0.99	0.54	0.96	0.60	0.96	1.00
PSCT_03528	0.80	0.55	0.51	0.55	0.54	0.83	0.98	1.00	0.53	0.98	0.48	0.98	1.00
PSCT_03529	0.94	0.64	0.63	0.97	0.71	1.00	0.98	0.99	0.64	0.98	0.52	0.97	1.00
PSCT_03530	0.91	0.58	0.59	0.88	0.62	0.97	0.88	0.97	0.62	0.88	0.39	0.88	1.00
PSCT_03531	0.97	0.77	0.75	0.99	0.80	0.97	0.98	0.99	0.71	0.97	0.70	0.99	1.00
PSCT_03532	0.92	0.75	0.76	0.94	0.79	0.95	0.94	0.97	0.78	0.94	0.70	0.94	1.00
PSCT_03533	0.00	0.00	0.06	0.00	0.00	0.74	0.00	0.78	0.00	0.00	0.00	0.79	1.00
PSCT_03534	0.00	0.02	0.03	0.02	0.04	0.84	0.04	0.83	0.02	0.02	0.00	0.85	1.00
PSCT_03535	0.00	0.00	0.08	0.00	0.09	0.77	0.10	0.76	0.00	0.00	0.00	0.77	1.00
PSCT_03536	0.88	0.76	0.79	0.76	0.83	0.89	0.87	0.89	0.78	0.00	0.78	0.92	1.00
PSCT_03537	1.00	0.99	0.99	0.00	0.97	1.00	1.00	1.00	1.00	0.00	0.98	1.00	1.00
PSCT_03538	0.98	0.94	0.92	0.99	0.92	1.00	0.99	1.00	0.93	0.99	0.79	0.99	1.00
PSCT_03539	0.99	0.83	0.80	0.98	0.87	0.99	0.98	1.00	0.88	0.98	0.79	0.98	1.00
PSCT_03540	0.96	0.86	0.84	0.97	0.82	0.99	0.97	0.99	0.81	0.97	0.75	0.97	1.00
PSCT_03541	0.99	0.88	0.88	0.97	0.92	1.00	0.55	1.00	0.85	0.97	0.81	0.97	1.00
PSCT_03542	0.96	0.11	0.49	0.12	0.58	0.97	0.12	0.99	0.11	0.12	0.57	0.12	1.00
PSCT_03543	0.99	0.92	0.91	0.97	0.92	0.99	0.97	1.00	0.91	0.97	0.00	0.97	1.00
PSCT_03544	0.98	0.93	0.93	0.97	0.93	0.99	0.97	0.99	0.92	0.97	0.11	0.97	1.00
PSCT_03545	1.00	0.98	0.98	1.00	1.00	1.00	0.56	1.00	0.99	1.00	0.97	1.00	1.00
PSCT_03546	0.98	0.97	0.96	0.96	0.94	1.00	0.96	1.00	0.96	0.96	0.96	0.94	1.00
PSCT_03547	0.92	0.47	0.46	0.88	0.46	0.98	0.88	0.99	0.45	0.88	0.46	0.89	1.00
PSCT_03548	0.98	0.91	0.90	0.96	0.87	0.99	0.96	1.00	0.91	0.96	0.12	0.97	1.00
PSCT_03549	0.99	0.95	0.94	0.98	0.82	0.99	0.99	1.00	0.88	0.99	0.73	0.99	1.00
PSCT_03550	0.94	0.79	0.80	0.89	0.70	0.99	0.89	0.99	0.74	0.89	0.26	0.89	1.00
PSCT_03551	0.99	0.20	0.22	0.97	0.22	0.98	0.97	1.00	0.21	0.97	0.71	0.98	1.00
PSCT_03552	0.95	0.96	0.95	0.96	0.87	0.97	0.57	0.98	0.93	0.97	0.18	0.96	1.00
PSCT_03553	0.99	0.97	0.97	0.99	0.94	1.00	0.99	1.00	0.95	0.99	0.18	0.99	1.00
PSCT_03554	0.96	0.95	0.93	0.93	0.88	0.98	0.93	1.00	0.86	0.93	0.30	0.93	1.00
PSCT_03555	0.87	0.52	0.08	0.91	0.62	0.90	0.91	1.00	0.28	0.92	0.51	0.92	1.00
PSCT_03556	0.99	0.92	0.92	0.98	0.90	1.00	0.98	1.00	0.92	0.98	0.86	0.98	1.00
PSCT_03557	0.97	0.00	0.12	0.99	0.87	0.97	0.99	0.98	0.89	0.99	0.14	0.99	0.99
PSCT_03558	0.95	0.09	0.10	0.97	0.71	0.97	0.97	0.99	0.77	0.97	0.00	0.97	1.00
PSCT_03560	0.88	0.65	0.65	0.96	0.61	0.98	0.97	0.98	0.53	0.29	0.62	0.96	0.98
PSCT_03561	0.94	0.77	0.78	0.95	0.73	0.98	0.95	0.98	0.80	0.00	0.80	0.95	1.00
PSCT_03562	0.98	0.73	0.71	0.98	0.64	0.99	0.98	0.98	0.81	0.00	0.75	0.97	1.00
PSCT_03563	0.98	0.90	0.90	0.99	0.88	1.00	0.99	1.00	0.92	0.04	0.90	0.99	1.00
